,BUS,CAR,MINIBUS,MOTO,TRUCK,VAN
0,0.01359826757714067,0.0052442691539155,,0.025299956203062555,0.03921944656910816,
1,0.04207067988525614,0.010299563818592842,,0.09800904426966318,0.07409024718774802,
2,0.05607928864682921,0.012608519781580894,,0.1170709728955836,0.07819242307178983,
3,0.0592243563042467,0.014870923710181345,,0.12109265017198301,0.08031610938126084,
4,0.06015174431995522,0.016557936673997995,,0.1171728189810733,0.08156218914768068,
5,0.05995319096687069,0.018164582559747292,,0.109178619125461,0.08177694521071188,
6,0.0612316597763217,0.019944489556537756,,0.09700814823302888,0.08028873986845148,
7,0.060121298159307245,0.02112670007562199,,0.08221688067745593,0.07593806739912103,
8,0.056601459743039026,0.02268897395420326,,0.06680723253380991,0.06986356661549491,
9,0.05167108678408569,0.028301014501944357,,0.051993114450082874,0.06273539598667219,
10,0.046076216488012536,0.03735614398066962,,0.038656273602592627,0.054374392175850425,
11,0.04258080116356681,0.05390851339098751,,0.027343955643430038,0.04567345096044575,
12,0.03795231181178739,0.06621522010875737,,0.018449447861089943,0.0373488847909208,
13,0.035387333564811024,0.08242048902611371,,0.011809292506780311,0.02936738536276325,
14,0.031840740367266605,0.09025067320359238,,0.007322678134315909,0.02292379049418252,
15,0.0321944776394364,0.09461599417793187,,0.00436912888326509,0.01846214543575921,
16,0.030604632133051028,0.09052015178265044,,0.0024955833019752872,0.01422773960405512,
17,0.030655706682492668,0.08068390083206053,,0.0013498506473924776,0.011174841494163956,
18,0.027867097533966895,0.06732836558819189,,0.0007338394583636228,0.008613457958272867,
19,0.024777948196371732,0.0528633485648617,,0.00040202486187095683,0.006774237572933341,
20,0.02427614370604046,0.03930114229882695,,0.00031161164011716836,0.005361518602023605,
21,0.021272741036902056,0.0273854627272069,,0.00021616590104173397,0.004490089209863091,
22,0.019288148105604596,0.018296859731751793,,0.00015330733192128642,0.003412609927871981,
23,0.01504168397229324,0.011723879624171292,,0.0001016824744502744,0.002849187140790361,
24,0.014510838972482263,0.007308836913987837,,9.072926642989788e-05,0.0024806289914014955,
25,0.011802140041207542,0.004415284552461181,,4.455682878144879e-05,0.0020053199260779662,
26,0.010312659391338536,0.0026292817020509927,,2.4061833770281192e-05,0.001750416713898973,
27,0.008469209620874154,0.0014719211280129808,,1.0517496482084463e-05,0.001467371227764511,
28,0.005194775138338615,0.0008020753194413503,,5.0436707485179466e-05,0.001201781409626901,
29,0.0050378841303630436,0.0004356756098456076,,5.984895757978392e-05,0.001123217031968841,
30,0.004153478140740074,0.00025980595010314215,,0.00015556911966026568,0.000934403531325958,
